[2025-07-24 17:28:02] [TCP] 40.79.173.40:443 --> 192.168.0.112:49210 | Size: 105 bytes
[2025-07-24 17:28:02] [TCP] 192.168.0.112:49210 --> 40.79.173.40:443 | Size: 54 bytes
[2025-07-24 17:28:02] [TCP] 192.168.0.112:49210 --> 40.79.173.40:443 | Size: 512 bytes
[2025-07-24 17:28:02] [TCP] 192.168.0.112:49210 --> 40.79.173.40:443 | Size: 861 bytes
[2025-07-24 17:28:03] [TCP] 40.79.173.40:443 --> 192.168.0.112:49210 | Size: 56 bytes
[2025-07-24 17:28:03] [TCP] 40.79.173.40:443 --> 192.168.0.112:49210 | Size: 508 bytes
[2025-07-24 17:28:03] [TCP] 192.168.0.112:49210 --> 40.79.173.40:443 | Size: 54 bytes
[2025-07-24 17:28:03] [TCP] 192.168.0.112:49200 --> 20.190.177.20:443 | Size: 54 bytes
[2025-07-24 17:28:03] [TCP] 20.190.177.20:443 --> 192.168.0.112:49200 | Size: 56 bytes
[2025-07-24 17:28:03] [TCP] 192.168.0.112:49200 --> 20.190.177.20:443 | Size: 54 bytes
[2025-07-24 17:28:04] [TCP] 192.168.0.112:65444 --> 34.120.195.249:443 | Size: 213 bytes
[2025-07-24 17:28:04] [TCP] 192.168.0.112:65444 --> 34.120.195.249:443 | Size: 93 bytes
[2025-07-24 17:28:04] [TCP] 192.168.0.112:65444 --> 34.120.195.249:443 | Size: 1466 bytes
[2025-07-24 17:28:04] [TCP] 192.168.0.112:65444 --> 34.120.195.249:443 | Size: 1466 bytes
[2025-07-24 17:28:04] [TCP] 192.168.0.112:65444 --> 34.120.195.249:443 | Size: 1466 bytes
[2025-07-24 17:28:04] [TCP] 192.168.0.112:65444 --> 34.120.195.249:443 | Size: 1466 bytes
[2025-07-24 17:28:04] [TCP] 192.168.0.112:65444 --> 34.120.195.249:443 | Size: 1466 bytes
[2025-07-24 17:28:04] [TCP] 192.168.0.112:65444 --> 34.120.195.249:443 | Size: 471 bytes
[2025-07-24 17:28:04] [TCP] 192.168.0.112:65444 --> 34.120.195.249:443 | Size: 89 bytes
[2025-07-24 17:28:04] [TCP] 34.120.195.249:443 --> 192.168.0.112:65444 | Size: 56 bytes
[2025-07-24 17:28:04] [TCP] 34.120.195.249:443 --> 192.168.0.112:65444 | Size: 56 bytes
[2025-07-24 17:28:04] [TCP] 34.120.195.249:443 --> 192.168.0.112:65444 | Size: 96 bytes
[2025-07-24 17:28:04] [TCP] 34.120.195.249:443 --> 192.168.0.112:65444 | Size: 56 bytes
[2025-07-24 17:28:04] [TCP] 34.120.195.249:443 --> 192.168.0.112:65444 | Size: 56 bytes
[2025-07-24 17:28:04] [TCP] 34.120.195.249:443 --> 192.168.0.112:65444 | Size: 56 bytes
[2025-07-24 17:28:04] [TCP] 34.120.195.249:443 --> 192.168.0.112:65444 | Size: 129 bytes
[2025-07-24 17:28:04] [TCP] 34.120.195.249:443 --> 192.168.0.112:65444 | Size: 238 bytes
[2025-07-24 17:28:04] [TCP] 34.120.195.249:443 --> 192.168.0.112:65444 | Size: 96 bytes
[2025-07-24 17:28:04] [TCP] 192.168.0.112:65444 --> 34.120.195.249:443 | Size: 54 bytes
[2025-07-24 17:28:04] [TCP] 192.168.0.112:65444 --> 34.120.195.249:443 | Size: 89 bytes
[2025-07-24 17:28:04] [TCP] 192.168.0.112:65444 --> 34.120.195.249:443 | Size: 93 bytes
[2025-07-24 17:28:04] [TCP] 34.120.195.249:443 --> 192.168.0.112:65444 | Size: 56 bytes
[2025-07-24 17:28:04] [TCP] 34.120.195.249:443 --> 192.168.0.112:65444 | Size: 56 bytes
[2025-07-24 17:28:04] [UDP] 192.168.0.1:55838 --> 239.255.255.250:1900 | Size: 307 bytes
[2025-07-24 17:28:04] [UDP] 192.168.0.1:55838 --> 239.255.255.250:1900 | Size: 316 bytes
[2025-07-24 17:28:04] [UDP] 192.168.0.1:55838 --> 239.255.255.250:1900 | Size: 379 bytes
[2025-07-24 17:28:05] [UDP] 192.168.0.1:55838 --> 239.255.255.250:1900 | Size: 371 bytes
[2025-07-24 17:28:05] [UDP] 192.168.0.1:55838 --> 239.255.255.250:1900 | Size: 316 bytes
[2025-07-24 17:28:05] [UDP] 192.168.0.1:55838 --> 239.255.255.250:1900 | Size: 355 bytes
[2025-07-24 17:28:05] [UDP] 192.168.0.1:55838 --> 239.255.255.250:1900 | Size: 387 bytes
[2025-07-24 17:28:05] [UDP] 192.168.0.1:55838 --> 239.255.255.250:1900 | Size: 316 bytes
[2025-07-24 17:28:05] [UDP] 192.168.0.1:55838 --> 239.255.255.250:1900 | Size: 375 bytes
[2025-07-24 17:28:05] [UDP] 192.168.0.1:55838 --> 239.255.255.250:1900 | Size: 369 bytes
[2025-07-24 17:28:05] [UDP] 192.168.0.1:55838 --> 239.255.255.250:1900 | Size: 316 bytes
[2025-07-24 17:28:05] [UDP] 192.168.0.1:55838 --> 239.255.255.250:1900 | Size: 371 bytes
[2025-07-24 17:28:06] [UDP] 192.168.0.1:55838 --> 239.255.255.250:1900 | Size: 381 bytes
[2025-07-24 17:28:10] [TCP] 34.231.4.169:443 --> 192.168.0.112:65371 | Size: 60 bytes
[2025-07-24 17:28:10] [TCP] 192.168.0.112:65371 --> 34.231.4.169:443 | Size: 54 bytes
[2025-07-24 17:28:10] [TCP] 192.168.0.112:65373 --> 172.217.21.3:443 | Size: 149 bytes
[2025-07-24 17:28:10] [UDP] 192.168.0.112:50907 --> 192.168.0.1:53 | Size: 75 bytes
[2025-07-24 17:28:10] [UDP] 192.168.0.112:50907 --> 192.168.0.1:53 | Size: 75 bytes
[2025-07-24 17:28:10] [TCP] 172.217.21.3:443 --> 192.168.0.112:65373 | Size: 56 bytes
[2025-07-24 17:28:10] [UDP] 192.168.0.1:53 --> 192.168.0.112:50907 | Size: 91 bytes
[2025-07-24 17:28:10] [TCP] 172.217.21.3:443 --> 192.168.0.112:65373 | Size: 149 bytes
[2025-07-24 17:28:10] [TCP] 172.217.21.3:443 --> 192.168.0.112:65373 | Size: 128 bytes
[2025-07-24 17:28:10] [TCP] 192.168.0.112:65373 --> 172.217.21.3:443 | Size: 54 bytes
[2025-07-24 17:28:10] [UDP] 192.168.0.112:57683 --> 192.168.0.1:53 | Size: 75 bytes
[2025-07-24 17:28:10] [TCP] 172.217.21.3:443 --> 192.168.0.112:65373 | Size: 96 bytes
[2025-07-24 17:28:10] [TCP] 192.168.0.112:65373 --> 172.217.21.3:443 | Size: 93 bytes
[2025-07-24 17:28:10] [TCP] 172.217.21.3:443 --> 192.168.0.112:65373 | Size: 56 bytes
[2025-07-24 17:28:10] [UDP] 192.168.0.1:53 --> 192.168.0.112:50907 | Size: 91 bytes
[2025-07-24 17:28:10] [UDP] 192.168.0.1:53 --> 192.168.0.112:57683 | Size: 103 bytes
